가드닝	생활 원예
녹아웃	① 승자 진출, 승자 진출 경기 ② 투수 강판
논픽션	실화
뉴 노멀	새 기준, 새 일상
뉴 미디어	새로운 매체, 새 매체, 신매체
뉴 트렌드	새 흐름, 새 유행, 신경향, 최신 경향
뉴 페이스	새 인물
뉴트로	신복고, 새 복고
니즈	수요, 바람
니트족	일할 의사 없는 청년 무직자, 무기력 청년 무직자
님비	지역 이기주의
다우너 소	주저앉는 소
다운 사이클	하강 국면, 하락 추세
다운 스트림	아래 흐름, 아랫단계 흐름
다운 턴	하락 곡점
다운로딩	받기, 내려받기
다운사이징	감축, 축소, 줄이기
다운타운	중심가, 번화가
다이내믹	역동적, 동적
다이얼로그	대화, 토론, 토론 행사
다크 모드	어두운 화면
다크 컬러	어두운 색
다크 투어	역사 교훈 여행
다크 패턴	눈속임 설계
닥터 쇼핑	병원 순례
닥터헬기	응급 헬기
답사 코스	답사 경로, 답사 길
대남 라인	대남 책임진
대북 이슈	대북 현안
대시보드	계기판, 상황판
더블 룸	2인 침대방
더블 캐스팅	이중 배역, 2인 1역
더블딥	이중 침체
데드 크로스	인구 자연 감소, 약세 전환 지표, 주가 거래량 하락
데드라인	마감, 기한, 한계선
데모데이	시연회
데스 노트	부적격자 명단
데이케어	주간 보호
데이터 로밍	국외 인터넷 연결
데이터 바우처	자료 이용권, 데이터 이용권
데이터 뱅크	자료 은행
데이트레이딩	단타 매매, 초단타 매매
데일리 메뉴	나날 차림표, 오늘의 식단, 오늘의 차림표, 일일 식단
데일리 웨어	평상복
데자뷔	기시감, 이미 본 느낌
데칼코마니	대칭복사
데탕트	긴장 완화
델타	삼각주
도그마	교조, 교리, 독단적 신념
도슨트	해설사, 전시물 해설사, 전문 안내원
도슨트 북	전문 안내서, 전시 안내서
도어맨	안내인, 현관 안내인
도킹	연결, 결합
도핑	① 약물 사용, 약물 복용 ② 첨가, 불순물 첨가
돔 하우스	둥근 지붕 집
듀레이션	평균 자금 회수 기간, 평균 자금 상환 기간
듀얼	이중
듀얼 컨버터	이중 변환기, 이중 역병렬 변환기
드라이 에이징	건식 숙성
드라이버 라이선스	운전면허, 운전면허증
드라이브 정책	주도 정책, 강공 정책
드라이브스루	승차, 차량 이동형
드라이플라워	말린 꽃
드래그	끌기
드레스 코드	옷차림 규칙, 옷차림 약속, 의상 규칙
드리프트 앵글	활주각
드리핑	흘림법, 흘림 그림
드림 팀	환상팀
드립 커피	내림 커피
디도스 공격	분산 서비스 거부 공격, 동시 접속 서버 마비 공격, 서버 마비 공격
디바이스	기기, 장치
디버거	오류 수정자
디버그	오류 수정
디버깅	오류 수정
디베이트	토론, 논쟁 토론, 찬반 토론
디벨로퍼	개발업자, 부동산 개발업자
디브레인	디지털 예산 회계 시스템
디브리핑	결과 보고, 질문 조사, 임무 보고
디비전	부, 부문, 구획
디스토피아	역유토피아
디스펜서	공급기, 정량 공급기
디엠	① 우편 광고, 우편 광고물 ② 쪽지
디오더런트	체취 제거제
디자인 허브	디자인 거점
디지털 노마드족	디지털 유목민
디지털 사이니지	디지털 맞춤형 광고, 전자 광고판
디지털 시그니처	전자 서명
디지털 트윈	디지털 복제, 디지털 복제물
디지털 퍼스트	디지털 우선
디지털 포렌식	디지털 증거 수집, 디지털 자료 복원, 디지털 과학 수사, 전자 법의학, 전자 법의학 수사
디텍터	탐지기, 검출기
디톡스	디지털 거리 두기
디펜스	방어, 수비
디폴트	① 채무 불이행 ② 기본값
디폴트 옵션	사전 지정 운용 제도, 자동 투자 제도
디퓨저	방향기
디플레이션	물가 하락세, 물가 하락 현상
디플로마	수료증, 졸업장, 학위 증명서
딜레마	궁지, 진퇴양난
딜레이	늦춤, 지연, 연기
딜리버리	배달
딜리버리 로봇	배달 로봇
딥 러닝	심층 기계 학습, 심화 학습
딥 체인지	근본적 변화
딥 테크	기저 기술, 원천 기술
딥 페이크	이미지 합성 기술, 가짜 영상
딩크족	자녀 없는 맞벌이 부부, 무자녀 맞벌이 부부
라스트 신	마지막 장면
라운드	운동장, 경기장, 야구장, 구장
라운지	맞이방, 휴게실
라이닝	안감
라이더	배달원, 운전자, 타는 이
라이딩	타기
라이브러리	자료관, 도서관
라이선스	운전면허, 운전면허증
라이트	긍정 신호, 초록불
라이트 블루	하늘색
라이프 가드	안전 요원
라이프 사이클	생애 주기, 수명 주기, 생명 주기
라이프 케어	건강 돌봄, 생활 관리
라이프 태그	생명 팔찌
라이프 플래너	생활 설계사, 보험 모집인
라이플	말린 꽃
라인업	선수 명단, 출연진 명단, 출연진, 진용, 순번, 제품군
랑데부	만남
래프팅	급류 타기, 물살 타기
래핑 광고	도배 광고
랜	통큰 협상, 대규모 협상, 대타협
랜덤 박스	무작위 상품
랜덤 샘플링	무작위 표본, 임의 표본
랜덤 채팅	무작위 채팅
랜딩	착지
랜섬웨어	금품 요구 악성 프로그램
랜턴	손전등
랠리	① 주가 강세 전환 ② 주고받기 ③ 자동차 경주
랠리 포인트 시스템	직접 득점제
랭크	순위, (등급, 순위를) 차지하다, (등급, 순위를) 매기다.
러닝 개런티	흥행 보수
러닝 팩토리	실습장
러닝메이트	동반자, 동반 입후보자
러시아워	몰릴 때, 붐빌 때, 혼잡 시간
러프 지역	잡초 지역, 부정적 구역
럭셔리 카	고가차
런 아웃	중심축 이탈
런치 파티	점심 모임, 점심 자리
레거시	유산, 대회 유산
레귤러	보통, 평범한, 일반적인
레드 라인	허용 한계선
레드 오션	포화 시장
레드 존	위험 구역, 금지 구역, 청소년 제한 구역
레버리지 효과	지렛대 효과, 자기 자본 대비 총자산 한도
레어	드문, 희귀한, 살짝 익힌
레어템	희귀품
레이블	데이터 주석자
레이블링	데이터 주석
레이아웃	배열, 배치, 판매김
레이어드 룩	겹쳐 입기 차림, 겹쳐 입기풍
레인코트	비옷
레일 바이크	철길 자전거, 궤도 자전거
레임덕	지도력 공백, 권력 누수
레저 타운	휴양지
레저웨어	여가복, 여가 옷
레지던스	거주지, 창작공간, 창작촌, 생활형 숙박시설
레지던시	거주지, 창작공간, 창작촌, 생활형 숙박시설
레지던트	전공의
레지스탕스	저항
레지스터	저항기, 기록기
레짐	체제
레토르트 식품	고압 가열 살균 식품
레트로	복고풍
레퍼리	심판, 심사 위원
레퍼토리	곡목, 연주 곡목, 노래 곡목, 상연 목록
레프트 윙	왼쪽 공격수, 왼쪽 날개
레플리카	복제, 복제품, 복사, 보급형 제품
렉처	강연, 강의
렌더링	3차원 구현, 완성 예상도
렌털 하우스	빌림집, 임대 주택
렌트 푸어	세입 빈곤층
로그 시트	운영 기록지
로그 파일	사용 기록
로그온	접속, 접속 중, 들어가기
로드 매니저	수행 매니저
로드 맵	이행안, 단계별 이행안, 일정 계획
로드 무비	여정 영화
로드 북	도로 안내서
로드 뷰	거리 보기, 거리 풍경, 거리 사진
로드 쇼	순회 설명회, 순회 행사, 순회 상영, 길거리 쇼, 거리 공연, 특별 공연, 특별 상영
로드 숍	가두 직영점
로드킬	동물 찻길 사고, 찻길 동물 사고, 동물 교통사고
로딩	받기, 내려받기
로밍 폰	국외용 휴대 전화
로보어드바이저	로봇 자산 관리사
로보틱스	로봇 공학
로비스트	막후교섭자
로스 컷	손절매
로스쿨	법학 전문 대학원, 법전, 법전원
로스팅	굽기, 볶기
로열박스	귀빈석
로직	논리
로진 백	송진, 송진 주머니
로커	사물함, 보관함, 개인 보관함
로컬	세방화(세계화+지방화), 세방화, 세계화지방화
로컬 시네마	지역 영화, 지역 독립 영화
로컬 푸드	지역 음식, 향토 음식, 지역 먹거리, 지역 먹을거리, 향토 먹을거리
로케이션	현지 촬영
로터리	회전형, 회전 교차로
로테이션	순환, 회전, 선회
로펌	법률 회사, 법률 사무소
로프	밧줄, 줄
로하스	친환경살이
론드리	세탁소, 세탁물, 세탁
론칭	사업 개시, 신규 사업 개시, 출시
롤 오버	만기 연장
루미나리에	불빛 축제, 불빛 잔치, 불빛 조명 시설
루저	실패자, 패배자
루키	신인, 신인 선수
루트	통로, 경로
루틴	일상, 반복적 일상, 반복 연산
루프 톱	옥상
룸 시어터	안방 극장
르포	현지 보고, 보고 기사, 현장 보고, 현장 보고서
리그	대전, 연맹, 연맹전, 시합장
리넨	마, 마직물
리노베이션	새 단장, 개보수
리뉴얼	새 단장, 재구성
리디노미네이션	화폐 단위 변경
리딩 브랜드	으뜸 상표, 주도 상표
리마인드	상기, 다시 떠올림
리마인드 웨딩	회상 결혼식
리모트 컨트롤	조정기, 원격 조정기
리미티드	한정
리미티드 에디션	한정품, 한정판
리바이벌	재연
리버서블	양면, 양면 사용, 양면으로 쓰는
리베이트	대가성 불법 사례금, 사례비, 뒷돈
리벤지	복수, 보복
리벤지 포르노	보복성 음란물, 해코지 음란물
리볼빙	회전 결제, 일부 결제 금액 이월 약정
리부트	되띄우기, 재가동
리뷰어	논평가, 검토자
리빌드	재구성
리빙 랩	생활 실험실, 살아 있는 실험실, 우리 마을 실험실
리빙 트립	살아보기 여행
리사이클링	재활용
리사이틀	연주회, 발표회
리서치 헤드	수석 연구원
리세션	경기 침체, 경기 후퇴
리셉션	① 연회, 피로연, 축하연, 초대연 ② 접수처
리소스	자원
리스 산업	임대업
리스백	매각 차용
리스케줄링	채무 상환 조정, 채무 재조정, 일정 조정
리스타트	다시 시작, 재시작
리스토어	복원
리스펙트	존경
리얼 버라이어티	생생 예능
리얼리즘	사실주의
리얼타임	실시간
리워드	보상, 보상금, 적립금
리코딩	녹음, 기록
리퀘스트	신청, 요청
리크루팅	채용, 인재 충원, 인재 등용, 채용 설명회
리터러시	문해력, 이해력, 글 이해력
리터칭	수정, 보정
리턴	① 무수익 ② 반품 불가
리턴 매치	복수전, 재대결
리테일	소매, 소매 금융
리테일 스토어	소매점
리테일러	소매업자, 소매업체
리퍼브	손질 상품
리페어	수리
리포팅	보도, 보고서
리프레시	재충전
리프레시 데이	재충전의 날
리프레시 휴직	재충전 휴직
리플	댓글
리플릿	광고지, 홍보지, 홍보물, 홍보 책자, 홍보 전단
리플족	댓글족, 답글족
린치	폭력
릴레이 골	연속 골
릴리스	출시, 배포
릴리프	구원, 부각, 부조
릴리프 피처	구원 투수, 교체 투수
링 커리어	경기 경력
링크 텍스트	연결 문서
링크스	바닷가 골프장
링클 프리	구김 방지
마그네틱 카드	자기 카드
마그네틱 테이프	자기 테이프
마도로스	선원
마리나	해안 유원지
마블링	결지방
마스터 클래스	명인 강좌
마스터플래너	으뜸 설계사, 책임 설계사, 총괄 계획가
마스터플랜	종합 계획, 기본 계획, 기본 설계
마에스트로	명장, 장인
마운틴 뷰	산 전망
마이너	비주류
마이너 캐릭터	주변 인물
마이너리티	소수 집단
마이데이터	개인 정보, 개인 맞춤형 정보
마이스	전시 복합 산업
마이스터	전문가
마이카	자가용, 자기 차, 내 차
마이크로 러닝	알토란 학습, 단기 속성 학습
마이크로 미디어	개인 매체
마이크로 브루어리	소규모 맥주 제조장, 소규모 맥주 공장
마이크로그리드	소규모 독립형 전력망
마이크로바이옴	인체 미생물 유전 정보
마인드맵	생각 그물
마일드	부드러운, 순한
마일스톤	이정표, 중요 단계
마임	무언극
마케터	판매 전문가
마케팅 리서치	시장 조사, 소비자 조사, 상품 조사
마켓 셰어	시장 점유, 시장 점유율
마켓 테스트	시범 판매
마켓 트렌드	시장 흐름
마켓 플레이스	시장, 장
마타도어	흑색 선전, 모략 선전
맞춤 코칭	맞춤 지도
매너리즘	타성
매니시	남성적
매니시 룩	남성풍
매니지드 서비스	위탁 관리 서비스
매니지먼트	관리, 연예 기획
매니페스토	공약, 공약 지키기, 참공약
매머드	큰, 대규모, 대형
매스 게임	집단 체조
매스 미디어	대중 매체
매스티지	대중 명품
매치	복수전, 재대결
매치 메이킹	상대 정하기
매치 포인트	끝내기 점수
매치업	맞대결, 대진, 일대일
매칭 데이	이음의 날, 연결의 날
매칭 비율	분담 비율
매칭 시스템	협력 체계, 연결 체계
매칭 펀드	대응 자금, 대응 기금
매크로	① 거시적 ② 자동 실행, 모듬 명령
머그 샷	피의자 사진, 피의자 사진 공개 제도
머니 게임	돈 놀이
머스트 해브	필수품
머신 랭귀지	기계어
머신 러닝	기계 학습
머천다이징	상품화
멀티 뷰	다중 화면
멀티 스폿	다면, 다중, 다각도
멀티 유즈	다용도
멀티 포지션	다중 역할
멀티 플랫폼	다중 운영 체제
멀티숍	두루가게, 잡화점
멀티태스킹	다중 작업
멀티플렉스	복합 상영관
메가	초대형
메가 FTA	다자간 자유 무역 협정
메가 뱅크	거대 은행, 초대형 은행
메가 시티	특화 도시, 거대 도시
메가 폴리스	거대 도시
메가 프로젝트	초대형 사업
메가톤급	핵폭탄급, 초대형
메가폰	확성기
메디 시티	의료 도시
메디컬	의료
메디컬 비자	의료 비자, 의료 사증
메르스	중동 호흡기 증후군
메리트	경쟁력, 가격 경쟁력, 경제 효과, 이익, 이점, 장점
메세나	문예 후원, 예술 후원
메신저 피싱	문자 금융 사기
메이데이	노동절
메이저	대형, 주류, 주요한
메이킹 필름	뒷 이야기, 제작 과정 영상
메인 캐릭터	주요 인물
메인스트림	주류
메카	중심, 중심지, 성지
메커니즘	구조, 체제, 작동 원리
메커트로닉스	전자 정보 기계
메타데이터	설명 자료, 설명 데이터, 해당 대상 설명 데이터
메타포	은유
메탈릭	금속성
멘토 데이	상담회
멘티	학생
멜로물	통속극
면접 클리닉	면접 지원, 면접 지원 프로그램
모기지 론	미국형 주택 담보 대출, 주택 담보 대출
모노레일	한 줄 철도, 단선 철도
모노톤	단색조, 무채색
모놀로그	혼잣말, 독백
모델링	친환경 새 단장
모델케이스	본보기
모듈	조립식, 부분
모듈러 주택	조립식 주택
모드	어두운 화면
모라토리엄	지급 유예, 지불 유예, 지불 유예 기간, 유예
모럴 해저드	도덕적 해이
모멘텀	전환 국면, 탄력
모멘트	계기, 동기
모바일 커머스	이동 통신 거래, 모바일 거래
모빌리티	전기 이동 수단
모션 캡처	동작 갈무리
모션 컨트롤	동작 제어, 동작 제어법
모토	신조, 좌우명, 목표
모티브	동기
모티켓	통신 예절
몸 캠	신체 불법 촬영, 불법 신체 촬영
몸 캠 피싱	신체 불법 촬영 협박, 불법 촬영 협박
무브먼트	움직임, 운동, 동력 장치
무비 트레일러	예고편
무빙워크	자동길
뮤지엄	박물관, 미술관
뮤지엄 콤플렉스	국립박물관 복합 단지, 박물관 단지
뮤직 아카데미	음악원, 음악 단체, 음악 학원, 음악 강좌
미니멀	최소의, 최소
미니멀 라이프	최소주의 생활, 단순한 생활 방식
미니멀 아트	최소 미술, 단순 미술
미니멀리즘	최소주의
미니멈 개런티	최소 보장 금액
미니아튀르	세밀화
미드필드	중간 지역
미들 파워	중재자, 중재 국가
미디어 데이	기자 간담회, 기자 환담회
미디어 리터러시	매체 이해력
미디어 믹스	여러 매체 활용 전략, 매체 활용 전략
미디어 스크램블	매체 혼합
미디어 커머스	매체 상거래
미스매치	부조화, 잘못 연결, 연결 오류
미스매칭	부조화, 잘못 연결, 연결 오류
미스터리 쇼퍼	비밀 평가원, 암행 평가원
미코노미	나를 위한 쇼핑, 나를 위한 소비
믹스견	혼종견
믹스트 존	공동 취재 구역
밀 키트	바로 요리 세트
밀레니얼	새천년, 새천년 세대
밀레니엄	천년, 새천년, 천년맞이
밀레니엄 베이비	천년둥이, 새천년둥이
밀리언 셀러	백만 부 판매, 대박 상품, 백만 판매
밀리터리 룩	군복 차림, 군복풍
밀리터리 배낭	군대 배낭
밀리터리 페스티벌	군사 과학 축제, 군사 축제
밋 업	설명회, 만남
밋 업 데이	설명회, 만남의 날
바로미터	잣대, 지표, 척도
바로크 스타일	바로크 양식
바우처	자료 이용권, 데이터 이용권
바운더리	경계, 구역, 범위, 담당 범위, 경계선
바이럴	입소문
바이백	되사기, 주식 되사기
바이시클	자전거
바이어	구매자, 수입상
바이오	친환경 생명 공학
바이오 메디컬	생명 의약, 생명 의학의
바이오 밸리	생명 공학 지구
바이오 클러스터	생명 공학 협력 단지
바이오 헬스	생명 건강, 생명 건강 산업
바이오매스	생물량, 생물 에너지원
바이오시밀러	동등 생물 의약품, 생명 의약품 복제약
바이오테크	생명 공학
바인더	보관철
바인딩	조임, 조임쇠, 부착기
박스 아웃	길 차단, 진로 방해
박스 오피스	① 흥행 수익 ② 매표소
발레파킹	대리 주차
발리슛	공중 차기
발리킥	공중 차기
방카쉬랑스	은행 연계 보험
배너	막대 광고, 띠 광고, 현수막, 현수막 광고
배리어 프리	무장애, 무장벽, 장애물 없는, 장벽 없는
백 데이터	근거 자료, 참고 자료, 보관 자료
백도어	보안 구멍
백업 파일	보관본 파일
밴사	결제 대행 업체, 신용 카드 결제망 사업자, 부가 가치 통신망 사업자
밸류 체인	가치 사슬, 공급망, 공급 체계
밸류에이션	평가 가치, 가치 평가
밸리	생명 공학 지구
밸리 효과	후유증, 올림픽 후유증
버드 스트라이크	조류 충돌 사고, 항공기 조류 충돌 사고
버스킹	거리 공연
버즈 마케팅	입소문 마케팅
버추얼	가상
버킷 리스트	소망 목록
번들링	묶음 판매, 끼워 팔기
번아웃 증후군	탈진 증후군
번인 현상	잔상 현상, 화면 잔상 현상
벌룬	풍선, 기구
벌크	무더기 짐, 미포장, 미포장 상품
베드타운	침상 도시, 비자족 도시
베이비 부머	베이비 붐 세대
베이비 시트	유아용 의자
베이비 페어	육아 용품 박람회
베이비 푸드	아기 음식, 아기 밥
베이비 플래너	육아 설계사
베이스	기본, 바탕
베타 버전	시험판
베팅 액	투자액, 판돈
벤더	연보라
벤처 캐피털	벤처 투자사, 벤처 기업 자본, 벤처 투자 자본
벤치 클리어링	몸싸움, 집단 몸싸움, 선수단 몸싸움
벤치마크	① 기준, 기준점 ② 본받기, 본 따르기
벤치마킹	① 비교 검토, 견주기 ② 본받기, 본 따르기 ③ 성능 시험
벤치워머	대기, 대기 선수, 후보 선수
벨보이	객실 안내, 객실 안내원
보디 카피	광고 문안
보디 케어	몸 가꾸기
보이시 룩	소년풍
보이콧	거절, 거부, 배척
보컬 마스터	노래 지도자
보컬리스트	가수
보틀넥	병목 현상
볼라드	안전 말뚝, 진입 방지 말뚝, 길 말뚝
볼런티어	자원봉사자
부비 트랩	위장 폭탄
부스	관, 공간
북 디자인	책 도안, 책 디자인
북 마스터	책 길잡이
북 섹션	책 소개 면, 책 소개란
북 코칭	독서 지도
북 콘서트	출판 기념회, 작가와의 만남
북 토크	책 이야기 마당, 출판 기념회, 작가와의 만남
북 페어	도서 박람회
북클럽	독서 모임
북텔러	책 낭독자
붐 업	활성화, 띄우기
뷰티 살롱	미용실
뷰티 엑스포	미용 국제 박람회
뷰파인더	보기 창
브라운 백 미팅	도시락 토론회, 도시락 모임, 도시락 회의
브랜드 파워	상표 경쟁력
브레인스토밍	난상 토론, 발상 모으기
브렉시트	영국 유럽연합 탈퇴
브로슈어	안내서, 소책자
브로커	중개인, 협잡꾼
브론즈	청동
브리지	다리, 연결, 탑승교
브리프	요약 보고, 요약서
브리핑 룸	기자 회견실
브이로그	영상 일기
브이패스	어선 위치 발신 장치
블라인드 테스트	정보 가림 평가
블라인드 트러스트	백지 위임, 백지 신탁, 백지 신탁제
블라인드 펀드	투자처 미특정 기금, 선모집 후투자 기금
블랙 먼데이	검은 월요일
블랙 아이스	살얼음, 도로 살얼음
블랙 컨슈머	악덕 소비자
블랙마켓	암시장
블랙아웃	대정전, 일시적 기억 상실
블렌딩	섞음
블록 세일	주식 일괄 매각
블록버스터	초대작, 초대형 영화
블루 오션	대안 시장, 뜨는 시장
블루 이코노미	청색 경제
블루 존	안전 지역, 청정 지역, 보호 구역
블루벨트	청정 수역, 수산 자원 보호 지역, 근해 보호 지역
블루진	청바지
블루칩	우량주, 대량 우량주
비건	순채, 엄격한 채식주의, 엄격한 채식주의자
비주얼 노블	소설형 게임, 그림 소설
비주얼 디스플레이	영상 표시
비주얼 마케팅	진열 판매, 외관 중심 판촉, 외관 중심 마케팅
비즈니스 모델	사업 모형
비콘	교통 정보 수집 장치, 근거리 무선 통신 장치
비하인드 컷	미공개 장면, 미공개 영상
빅 카드	관심거리, 주관심거리
빅 테크	거대 기술, 거대 정보 기술, 정보 통신 대기업
빅 텐트	초당파 연합, 포괄 정당
빅 픽처	큰 그림
빅딜	사업 맞교환, 대기업 간 교환
빅뱅	대폭발, 대변혁
빌리지	친환경 마을
빌트인	붙박이, 설치형
사드	외벽 영상
사모 펀드	소수 투자자 기금
사보타주	태업, 파괴 행위
사스	급성 호흡기 증후군
사이니지	디지털 맞춤형 광고, 전자 광고판
사이드카	주가 급락 경보, 호가 일시 정지
사이버 론	온라인 대출, 사이버 대출
사이버 멘토링	누리 상담, 온라인 상담
사이버 몰	가상 장터, 온라인 장터
사이버 인프라	전자 정보 공유 기반 시설
사이버불링	온라인 괴롭힘, 사이버 괴롭힘
사이보그	인조 인간
사이클링	재활용
사일로	저장탑, 저장 창고
샌드박스	규제 유예, 규제 유예 제도
샘플러	맛보기 묶음
섀도 캐비닛	그림자 내각
서든 데스	즉각 퇴출, 단판 승부
서머 타임	여름 알뜰 시간
서머리	간추림, 요약, 개요
서머스쿨	여름 학교
서밋	회담, 정상 회담
서스펜더	멜빵
서스펜션	연결부
서스펜스	긴장, 긴장감
서클	눈 그늘
서킷 브레이커	일시 매매 정지
서티피케이션	인증서, 검역 증명서
서포터스	후원자, 응원단, 홍보단, 체험단
선루프	지붕창
선베드	일광욕 의자
섬네일	영상 소개 화면, 마중 그림
세그먼트	분할, 칸살
세단	승용차
세미콜론	쌍반점
세미프로	준 프로
세션	경기 침체, 경기 후퇴
세이프가드	긴급 수입 제한, 긴급 수입 제한 조치
세이프티	안전
세컨더리 보이콧	제3자 제재
섹션	책 소개 면, 책 소개란
섹스어필	성적 매력
섹터	부문, 지구
센세이션	큰 화제, 선풍
셀러	무역인, 무역업자
셀러브리티	유명인, 명사
셀럽	유명인, 명사
셧다운	중단, 활동 정지, 일시 휴업
셧아웃	완봉, 공장 폐쇄
셰어 하우스	공유 주택
셰어런팅	자녀 공개
셰어링	공유, 자원 공유
셸터	피신처, 보호소, 대피소
소비 트렌드	소비 흐름, 소비 경향
소셜 네트워크 서비스	누리 소통망,  누리 소통망 서비스, 사회 관계망, 사회 관계망 서비스
소셜 디자이너	공동체 혁신 활동가, 공동체 활동가
소셜 믹스	어울 단지, 어울 단지 조성, 혼합 분양
소셜 벤처	사회적 벤처
소셜 채널	누리 소통망, 사회 관계망
소셜 커머스	온라인 상거래, 공동 할인 구매
소울푸드	위안 음식
소트	정렬
소퍼모어 징크스	후속작 증후군, 2년 차 증후군
소프트 랜딩	연착륙
소프트 파워	문화적 영향력, 부드러운 힘
솔라 시티	태양 에너지 도시, 햇살 도시
쇼룸	전시실, 진열실, 체험 전시실
쇼케이스	선보임 공연, 시범 전시
쇼트 리스트	최종 후보 명단
